question_id,user_id,score,view_count,up_vote_count,down_vote_count,answer_count,creation_date
67781427,16090059,2,30,2,0,1,1622507216
67781052,8139901,1,37,1,0,1,1622502883
67780791,347172,0,267,0,0,1,1622500034
67779719,12383445,0,35,0,0,0,1622491927
67779273,283676,0,23,0,0,1,1622489081
67778099,5655556,0,19,0,0,0,1622482137
67777080,10577122,0,85,0,0,1,1622477035
67776985,4826701,0,89,0,0,0,1622476572
67776030,15637224,1,66,1,0,1,1622472775
67775601,4163140,0,37,0,0,0,1622471153
67775082,15320454,0,4,0,0,0,1622469123
67774480,5648526,0,11,0,0,0,1622466856
67774387,11124740,1,46,1,0,1,1622466525
67773482,2867168,0,60,0,0,0,1622463095
67773088,9144769,0,35,0,0,0,1622461384
67772373,9535703,0,99,0,0,1,1622458407
67771620,11726869,0,28,0,0,0,1622455059
67770688,15949942,0,136,0,0,0,1622451402
67769969,3826549,1,633,1,0,2,1622448301
67769895,16039975,0,31,0,0,0,1622447958
67768889,16082225,0,33,0,0,0,1622442590
67767495,9480225,0,23,0,0,0,1622430623
67767334,482717,0,88,0,0,0,1622428648
67764281,15554941,-1,41,0,1,1,1622397525
67762994,14003677,0,29,0,0,0,1622389388
67762807,9407840,0,201,0,0,1,1622388080
67762740,1473431,0,14,0,0,0,1622387593
67762239,10335982,0,94,0,0,0,1622384471
67761959,566745,0,9,0,0,0,1622382808
67761853,5043190,0,10,0,0,0,1622382253
67761201,893898,0,63,0,0,0,1622378095
67760894,11137492,0,18,0,0,0,1622376078
67760172,1850978,0,26,0,0,0,1622371053
67759737,2867168,0,63,0,0,0,1622367595
67757358,9078384,1,52,1,0,0,1622344384
67756999,13536245,0,26,0,0,0,1622339158
67755288,13087204,0,53,0,0,1,1622318003
67752629,13087204,0,313,0,0,1,1622299360
67751560,10050049,0,43,0,0,0,1622292492
67751086,6468637,0,177,0,0,0,1622289342
67751084,12935154,1,46,2,1,0,1622289336
67747875,893898,0,64,0,0,1,1622264137
67746066,13087204,1,324,1,0,1,1622240873
67743296,4783796,1,40,1,0,1,1622223115
67742073,13087204,0,73,0,0,1,1622217313
67741372,13707990,0,198,0,0,0,1622214509
67740796,13475014,0,21,0,0,0,1622212159
67739815,1282995,1,46,1,0,1,1622208647
67739693,7981162,0,414,0,0,1,1622208170
67739584,3262787,3,480,4,1,0,1622207812
67738685,16059569,0,6,0,0,0,1622204240
67736607,11804213,0,149,0,0,1,1622195279
67735505,14770271,0,47,0,0,0,1622190704
67735455,3738386,-1,58,0,1,1,1622190525
67735295,86622,0,25,0,0,0,1622189890
67733934,15645281,0,15,0,0,1,1622183714
67733869,15908390,0,87,0,0,2,1622183287
67729963,13087204,0,64,0,0,1,1622149467
67728622,2942471,0,40,0,0,1,1622143132
67726602,5131575,1,47,1,0,1,1622134162
67726583,16051141,0,12,0,0,0,1622134118
67726536,15046118,0,22,0,0,0,1622133886
67726404,15720097,0,60,0,0,2,1622133298
67725720,14113667,1,428,1,0,1,1622130688
67725465,1385429,0,92,0,0,1,1622129749
67724669,15383376,0,73,0,0,0,1622127007
67722856,5802882,-1,36,0,1,1,1622121002
67722053,16048683,0,19,0,0,0,1622118214
