question_id,user_id,score,view_count,up_vote_count,down_vote_count,answer_count,creation_date
67782046,8870894,0,34,0,0,1,1622514842
67781685,15703338,0,34,0,0,1,1622510430
67780972,13025162,0,42,0,0,0,1622501901
67780510,11701675,0,523,0,0,1,1622497392
67778417,3144260,0,34,0,0,0,1622483984
67777691,11701675,1,42,1,0,1,1622479984
67777584,16087544,0,237,0,0,1,1622479538
67776834,8101377,0,46,0,0,0,1622476006
67775259,11475227,0,27,0,0,1,1622469809
67774488,4539120,-1,66,0,1,1,1622466882
67774292,8740945,0,480,0,0,3,1622466133
67774089,5714031,1,52,1,0,1,1622465431
67772041,16040347,0,72,0,0,0,1622456807
67770776,3921191,0,9,0,0,0,1622451816
67770570,4140482,0,22,0,0,1,1622450920
67770101,9472066,0,41,0,0,1,1622448855
67769212,14685004,0,28,0,0,1,1622444560
67769170,4785824,0,19,0,0,0,1622444320
67769027,10781154,0,58,0,0,3,1622443548
67768937,16081786,0,17,0,0,0,1622442929
67768123,16075969,0,12,0,0,0,1622437343
67767626,10191872,0,23,0,0,1,1622432093
67767334,482717,0,88,0,0,0,1622428648
67767175,11036631,0,41,0,0,2,1622426584
67766607,1050256,0,228,0,0,2,1622418361
67766601,7448439,0,32,0,0,0,1622418286
67765668,168589,0,23,0,0,0,1622407474
67764936,7014181,0,45,0,0,1,1622402084
67764857,13646081,1,52,1,0,0,1622401511
67764541,14204488,0,176,0,0,1,1622399159
67762537,16076953,0,59,0,0,1,1622386272
67762188,812660,0,29,0,0,1,1622384125
67759678,13033860,0,14,0,0,0,1622367082
67759162,8106189,0,50,0,0,1,1622362922
67756763,15059633,0,49,0,0,1,1622335481
67751794,3869979,0,60,0,0,0,1622294024
67750453,8477932,0,78,0,0,1,1622285278
67750220,12615632,1,28,1,0,1,1622283821
67747775,10815181,0,37,0,0,0,1622263061
67747699,14796315,0,28,0,0,1,1622261959
67745406,12103268,0,67,0,0,0,1622235522
67744929,16063084,0,86,0,0,0,1622232594
67744444,9680866,0,40,1,1,1,1622229624
67744106,15590924,0,79,0,0,2,1622227554
67743935,5024415,0,16,0,0,0,1622226563
67743350,10725547,1,17,1,0,0,1622223419
67743160,5137782,1,38,1,0,1,1622222480
67742430,16061569,0,21,0,0,0,1622219013
67741715,3850253,0,57,0,0,0,1622215806
67740328,12144496,0,79,0,0,2,1622210533
67740051,1028289,2,113,2,0,1,1622209544
67738974,15047068,0,37,0,0,1,1622205403
67738169,7310155,0,33,0,0,0,1622202155
67738077,8319409,0,56,0,0,1,1622201728
67735929,970785,0,314,0,0,2,1622192621
67735906,13291702,0,19,0,0,0,1622192493
67734634,8586783,0,160,0,0,1,1622187049
67731034,3128926,0,55,0,0,0,1622157661
67730262,9911341,0,46,0,0,2,1622151293
